timestamp,hour,price_eur_mwh,bess_power_mw,soc_mwh,revenue_eur
2026-08-01 00:00:00,0,68.72,7.504665215717488,2.0,515.7205936241057
2026-08-01 01:00:00,1,61.81,0.0,2.0,0.0
2026-08-01 02:00:00,2,66.27,0.0,2.0,0.0
2026-08-01 03:00:00,3,71.45,4.165926057296536e-16,1.9999999999999996,2.976554167938375e-14
2026-08-01 04:00:00,4,55.59,0.0,1.9999999999999996,0.0
2026-08-01 05:00:00,5,53.81,0.0,1.9999999999999996,0.0
2026-08-01 06:00:00,6,31.51,0.0,1.9999999999999996,0.0
2026-08-01 07:00:00,7,0.86,0.0,1.9999999999999996,0.0
2026-08-01 08:00:00,8,-30.46,0.0,1.9999999999999996,-0.0
2026-08-01 09:00:00,9,-40.26,0.0,1.9999999999999996,-0.0
2026-08-01 10:00:00,10,-62.01,0.0,1.9999999999999996,-0.0
2026-08-01 11:00:00,11,-71.04,0.0,1.9999999999999996,-0.0
2026-08-01 12:00:00,12,-69.41,0.0,1.9999999999999996,-0.0
2026-08-01 13:00:00,13,-85.59,-10.0,11.38083151964686,855.9000000000001
2026-08-01 14:00:00,14,-78.02,-9.188064472004939,20.0,716.8527901058253
2026-08-01 15:00:00,15,-57.96,0.0,20.0,-0.0
2026-08-01 16:00:00,16,-46.59,0.0,20.0,-0.0
2026-08-01 17:00:00,17,-17.43,0.0,20.0,-0.0
2026-08-01 18:00:00,18,-5.9,0.0,20.0,-0.0
2026-08-01 19:00:00,19,24.07,0.0,20.0,0.0
2026-08-01 20:00:00,20,46.14,0.0,20.0,0.0
2026-08-01 21:00:00,21,31.73,0.0,20.0,0.0
2026-08-01 22:00:00,22,33.29,0.0,20.0,0.0
2026-08-01 23:00:00,23,20.66,0.0,20.0,0.0
2026-08-02 00:00:00,0,27.09,0.0,20.0,0.0
2026-08-02 01:00:00,1,31.81,0.0,20.0,0.0
2026-08-02 02:00:00,2,21.29,0.0,20.0,0.0
2026-08-02 03:00:00,3,33.18,0.0,20.0,0.0
2026-08-02 04:00:00,4,25.13,0.0,20.0,0.0
2026-08-02 05:00:00,5,27.46,0.0,20.0,0.0
2026-08-02 06:00:00,6,-10.11,0.0,20.0,-0.0
2026-08-02 07:00:00,7,-12.85,0.0,20.0,-0.0
2026-08-02 08:00:00,8,-47.36,0.0,20.0,-0.0
2026-08-02 09:00:00,9,-71.71,0.0,20.0,-0.0
2026-08-02 10:00:00,10,-68.42,0.0,20.0,-0.0
2026-08-02 11:00:00,11,-91.78,0.0,20.0,-0.0
2026-08-02 12:00:00,12,-82.34,0.0,20.0,-0.0
2026-08-02 13:00:00,13,-96.55,0.0,20.0,-0.0
2026-08-02 14:00:00,14,-83.34,0.0,20.0,-0.0
2026-08-02 15:00:00,15,-58.26,0.0,20.0,-0.0
2026-08-02 16:00:00,16,-36.8,0.0,20.0,-0.0
